tournament_id,award_year,precision
WC-1930,1929,exact
WC-1934,1932,exact
WC-1938,1936,exact
WC-1950,1946,exact
WC-1954,1946,exact
WC-1958,1950,exact
WC-1962,1956,exact
WC-1966,1960,exact
WC-1970,1964,exact
WC-1974,1966,exact
WC-1978,1966,exact
WC-1982,1966,exact
WC-1986,1983,exact
WC-1990,1984,exact
WC-1991,1988,approximate
WC-1994,1988,exact
WC-1995,1993,approximate
WC-1998,1992,exact
WC-1999,1996,exact
WC-2002,1996,exact
WC-2003,2003,exact
WC-2006,2000,exact
WC-2007,2003,exact
WC-2010,2004,exact
WC-2011,2007,exact
WC-2014,2007,exact
WC-2015,2011,exact
WC-2018,2010,exact
WC-2019,2015,exact
WC-2022,2010,exact
